Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite-OrangeHRM,Chrome 88.0.4324.190,,,2021-03-03 17:30:51,2021-03-03 17:32:03,1m - 11.710s,ERROR
,,,,,,,
Test Cases/Login TC,Chrome 88.0.4324.190,Login to Orange HRM Web API,,2021-03-03 17:30:54,2021-03-03 17:31:14,20.390s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/"")",Chrome 88.0.4324.190,,,2021-03-03 17:30:56,2021-03-03 17:31:06,10.660s,PASSED
driver = getWebDriver(),Chrome 88.0.4324.190,,,2021-03-03 17:31:06,2021-03-03 17:31:06,0.041s,PASSED
"baseUrl = ""https://opensource-demo.orangehrmlive.com/""",Chrome 88.0.4324.190,,,2021-03-03 17:31:06,2021-03-03 17:31:06,0.002s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 88.0.4324.190,,,2021-03-03 17:31:06,2021-03-03 17:31:07,0.349s,PASSED
"selenium.open(""https://opensource-demo.orangehrmlive.com/"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:07,2021-03-03 17:31:08,0.902s,PASSED
"selenium.click(""//div[@id='divUsername']/span"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:08,2021-03-03 17:31:09,1.005s,PASSED
"selenium.type(""id=txtUsername"", ""Admin"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:09,2021-03-03 17:31:09,0.201s,PASSED
"selenium.click(""id=txtPassword"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:09,2021-03-03 17:31:09,0.207s,PASSED
"selenium.type(""id=txtPassword"", ""admin123"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:09,2021-03-03 17:31:09,0.165s,PASSED
"selenium.click(""id=btnLogin"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:09,2021-03-03 17:31:14,4.983s,PASSED
,,,,,,,
Test Cases/Emp List_Add Emp,Chrome 88.0.4324.190,View employee list and click on file of one employee and then creat a new employee file.,,2021-03-03 17:31:14,2021-03-03 17:31:30,15.447s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:16,2021-03-03 17:31:23,6.627s,PASSED
driver = getWebDriver(),Chrome 88.0.4324.190,,,2021-03-03 17:31:23,2021-03-03 17:31:23,0.002s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 88.0.4324.190,,,2021-03-03 17:31:23,2021-03-03 17:31:23,0.017s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 88.0.4324.190,,,2021-03-03 17:31:23,2021-03-03 17:31:23,0.061s,PASSED
"selenium.open(""https://opensource-demo.orangehrmlive.com/index.php/dashboard"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:23,2021-03-03 17:31:29,6.557s,PASSED
"selenium.click(""//a[@id='menu_pim_viewPimModule']/b"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:29,2021-03-03 17:31:30,0.500s,PASSED
,,,,,,,
Test Cases/Vacancies TC,Chrome 88.0.4324.190,Check open vacancies. View one that resembles one you would like to update the create one.,,2021-03-03 17:31:30,2021-03-03 17:31:44,14.441s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:31,2021-03-03 17:31:38,7.013s,PASSED
driver = getWebDriver(),Chrome 88.0.4324.190,,,2021-03-03 17:31:38,2021-03-03 17:31:38,0.001s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 88.0.4324.190,,,2021-03-03 17:31:38,2021-03-03 17:31:38,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 88.0.4324.190,,,2021-03-03 17:31:38,2021-03-03 17:31:38,0.053s,PASSED
"selenium.open(""https://opensource-demo.orangehrmlive.com/index.php/dashboard"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:38,2021-03-03 17:31:44,5.658s,PASSED
"selenium.click(""//a[@id='menu_recruitment_viewRecruitmentModule']/b"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:44,2021-03-03 17:31:44,0.347s,PASSED
,,,,,,,
Test Cases/Leave-assign,Chrome 88.0.4324.190,Add a new entitlement leve to group of employees and then give one employee a leave and confirm its done in leave list.,,2021-03-03 17:31:44,2021-03-03 17:32:00,15.762s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:46,2021-03-03 17:31:54,8.417s,PASSED
driver = getWebDriver(),Chrome 88.0.4324.190,,,2021-03-03 17:31:54,2021-03-03 17:31:54,0.002s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 88.0.4324.190,,,2021-03-03 17:31:54,2021-03-03 17:31:54,0.002s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 88.0.4324.190,,,2021-03-03 17:31:54,2021-03-03 17:31:54,0.044s,PASSED
"selenium.open(""https://opensource-demo.orangehrmlive.com/index.php/dashboard"")",Chrome 88.0.4324.190,,,2021-03-03 17:31:54,2021-03-03 17:32:00,5.160s,PASSED
"selenium.click(""//a[@id='menu_leave_viewLeaveModule']/b"")",Chrome 88.0.4324.190,,,2021-03-03 17:32:00,2021-03-03 17:32:00,0.407s,PASSED
,,,,,,,
Test Cases/Log Out TC,Chrome 88.0.4324.190,Log Out of Orange HRM web API Test case,,2021-03-03 17:32:00,2021-03-03 17:32:03,2.921s,ERROR
driver = getWebDriver(),Chrome 88.0.4324.190,,,2021-03-03 17:32:01,2021-03-03 17:32:01,0.000s,PASSED
"baseUrl = ""https://opensource-demo.orangehrmlive.com/""",Chrome 88.0.4324.190,,,2021-03-03 17:32:01,2021-03-03 17:32:01,0.000s,PASSED
